simp,pinyin,meaning,picture,simp_right,pinyin_right,meaning_right,picture_right
土,tu3,earth; dust; clay; local; indigenous; crude opium; unsophisticated; one of the eight categories of ancient musical instruments 八音[ba1 yin1],,,,,
石,shi2,rock; stone; stone inscription; one of the eight categories of ancient musical instruments 八音[ba1 yin1],,,,,
草,cao4,variant of 肏[cao4],,,,,
古,gu3,ancient; old; paleo-,,,,,
鸡蛋,ji1 dan4,(chicken) egg; hens egg; CL:個|个[ge4]打[da2],,,,,
喜,xi3,to be fond of; to like; to enjoy; to be happy; to feel pleased; happiness; delight; glad,,,,,
形,xing2,to appear; to look; form; shape,,,,,
量,liang4,capacity; quantity; amount; to estimate; abbr. for 量詞|量词[liang4 ci2]，classifier (in Chinese grammar); measure word,,,,,
缝,feng4,seam; crack; narrow slit; CL:道[dao4],,,,,
星星,xing1 xing5,star in the sky,,,,,
踏,ta4,to tread; to stamp; to step on; to press a pedal; to investigate on the spot,,,,,
静,jing4,still; calm; quiet; not moving,,,,,
吼,hou3,to roar; to howl; to shriek; roar or howl of an animal; bellow of rage,,,,,
胡,hu2,beard; mustache; whiskers,,,,,
包裹,bao1 guo3,to wrap up; to bind up; bundle; parcel; package; CL:個|个[ge4],,,,,
汗,han4,perspiration; sweat; CL:滴[di1]頭|头[tou2]身[shen1]; to be speechless (out of helplessness，embarrassment etc) (Internet slang used as an interjection),,,,,
扭,niu3,to turn; to twist; to wring; to sprain; to swing ones hips,,,,,
立,li4,to stand; to set up; to establish; to lay down; to draw up; at once; immediately,,,,,
伴,ban4,partner; companion; comrade; associate; to accompany,,,,,
营,ying2,camp; barracks; battalion; to build; to operate; to manage; to strive for,,,,,
沉,chen2,to submerge; to immerse; to sink; to keep down; to lower; to drop; deep; profound; heavy,,,,,
隆,long2,grand; intense; prosperous; to swell; to bulge,,,,,
禁,jin4,to prohibit; to forbid,,,,,
歇,xie1,to rest; to take a break; to stop; to halt; (dialect) to sleep; a moment; a short while,,,,,
竟,jing4,unexpectedly; actually; to go so far as to; indeed,,,,,
厚,hou4,thick; deep or profound; kind; generous; rich or strong in flavor; to favor; to stress,,,,,
裂缝,lie4 feng4,crack; crevice; CL:道[dao4],,,,,
夏,xia4,summer,,,,,
闷,men4,bored; depressed; melancholy; sealed; airtight; tightly closed,,,,,
秩序,zhi4 xu4,order (orderly); order (sequence); social order; the state (of society); CL:個|个[ge4],,,,,
巨,ju4,very large; huge; tremendous; gigantic,,,,,
渐渐,jian4 jian4,gradually,,,,,
轰,hong1,explosion; bang; boom; rumble; to attack; to shoo away; to expel,,,,,
须,xu1,beard; mustache; feeler (of an insect etc); tassel,,,,,
实,shi2,real; true; honest; really; solid; fruit; seed; definitely,,,,,
憋,bie1,to choke; to stifle; to restrain; to hold back; to hold in (urine); to hold (ones breath),,,,,
漆,qi1,paint; lacquer; CL:道[dao4]; to paint (furniture，walls etc),,,,,
沃,wo4,fertile; rich; to irrigate; to wash (of river),,,,,
束缚,shu4 fu4,to bind; to restrict; to tie; to commit; fetters,,,,,
春,chun1,spring (season); gay; joyful; youthful; love; lust; life,,,,,
裂,lie4,to split; to crack; to break open; to rend,,,,,
规律,gui1 lu:4,rule (e.g. of science); law of behavior; regular pattern; rhythm; discipline,,,,,
江,jiang1,river; CL:條|条[tiao2]道[dao4],,,,,
阳,yang2,positive (electric.); sun; male principle (Taoism); Yang，opposite: 陰|阴[yin1],,,,,
浑,hun2,muddy; to mix,,,,,
耗,hao4,to waste; to spend; to consume; to squander; news; (coll.) to delay; to dilly-dally,,,,,
疲惫,pi2 bei4,beaten; exhausted; tired,,,,,
褐色,he4 se4,brown,,,,,
奔,ben1,variant of 奔[ben1]; variant of 奔[ben4],,,,,
冬,dong1,(onom.) beating a drum; rat-a-tat,,,,,
玉,yu4,jade,,,,,
坚,jian1,strong; solid; firm; unyielding; resolute,,,,,
秋,qiu1,see 鞦韆|秋千[qiu1 qian1],,,,,
脉,mai4,variant of 脈|脉[mai4],,,,,
筋,jin1,muscle; tendon; veins visible under the skin; sth resembling tendons or veins (e.g. fiber in a vegetable),,,,,
育,yu4,to have children; to raise or bring up; to educate,,,,,
骨骼,gu3 ge2,bones; skeleton,,,,,
融,rong2,old variant of 融[rong2],,,,,
息,xi1,breath; news; interest (on an investment or loan); to cease; to stop; to rest; Taiwan pr. [xi2],,,,,
混沌,hun4 dun4,primal chaos; formless mass before creation in Chinese mythology; muddled; innocent as a baby,,,,,
斧,fu3,hatchet,,,,,
滋润,zi1 run4,moist; humid; to moisten; to provide moisture; comfortably off,,,,,
孕育,yun4 yu4,to be pregnant; to produce offspring; to nurture (a development，school of thought，artwork etc); fig. replete with (culture etc),,,,,
刹,sha1,to brake,,,,,
欣,xin1,happy,,,,,
舒坦,shu1 tan5,comfortable; at ease,,,,,
拢,long3,to gather together; to collect; to approach; to draw near to; to add; to sum up; to comb (hair),,,,,
抡,lun2,to select,,,,,
肢,zhi1,limb,,,,,
澈,che4,clear (water); thorough,,,,,
辟,pi4,to open (a door); to open up (for development); to dispel; to refute; to repudiate,,,,,
吁,yu4,to implore,,,,,
丈,zhang4,measure of length，ten Chinese feet (3.3 m); to measure; husband; polite appellation for an older male,,,,,
壤,rang3,soil; earth,,,,,
崭,zhan3,high; very,,,,,
哺,bu4,see 餔子|哺子[bu4 zi5],,,,,
屹,yi4,high and steep,,,,,
